,Arc Current [A],Arc Current [A]_stdev,Arc Voltage [V],Arc Voltage [V]_stdev,Plasma gas [g/s],Plasma gas [g/s]_stdev,Column Pressure [Pa],Column Pressure [Pa]_stdev,Chamber Pressure 2 [Pa],Chamber Pressure 2 [Pa]_stdev,Chamber Pressure 1 [Pa],Chamber Pressure 1 [Pa]_stdev,Column Water DeltaT [degC],Column Water DeltaT [degC]_stdev
100A_0.25gps_Air,95.53755772,1.74163197,81.78838997,1.364891238,0.24838709,0.002231944,19925.89766,455.8818814,713.5949183,5.47332226,954.7204032,8.106554934,0.357618705,0
100_0.50gps_Air,93.06623008,0,99.2235174,0,0.492471667,0,36620.37028,0,1256.249783,0,1474.415331,0,,
100_0.80gps_Air,89.22089419,0,121.7081583,0,0.790350001,0,52244.21375,0,1360.164459,0,2177.493926,0,,
150A_0.25gps_Air,,,,,,,,,,,,,,
160A_0.25gps_Air,150.9226142,1.458375802,77.73050251,0,0.248262907,0.001051432,22799.9317,694.9266897,785.473041,0,975.7956606,0,,
160A_0.50gps_Air,151.4166117,0,91.89213237,0,0.488055407,0,41161.47652,0,1330.463045,0,1595.241005,0,,
160A_0.80gps_Air,146.7794837,0,111.0093804,0,0.785314218,0,59588.22244,0,1359.772887,0,2460.281517,0,,
200A_0.25gps_Air,186.6302189,1.984051947,76.62553125,0,0.248072627,0.001090105,24215.49069,945.5625657,830.349367,0,995.2571348,0,,
200A_0.50gps_Air,186.7579945,0,91.58031409,0,0.49060577,0,43388.85918,0,1313.933286,0,1615.890071,0,,
200A_0.80gps_Air,185.4085074,0,108.6962162,0,0.781472658,0,63822.26757,0,1359.115784,0,2560.84493,0,0.611778344,0
40A_0.25gps_Air,40.33597236,1.160259719,103.0346724,0,0.248924297,0.00115212,16999.73107,969.8493923,708.069103,0,,,,
40A_0.50gps_Air,42.04060898,0,126.5172821,0,0.494711859,0,29760.08726,0,1199.518927,0,,,,
40A_0.80gps_Air,39.62331472,0,158.1901648,0,0.728177249,0,35686.28973,0,673.1350144,0,,,,
